,,Name,Username,Tweet ID (click to view url),Retweets,Comments,Favorites,Is Retweet?,Date,Tweet Text,text,Status URL,
20,,Lops Harris,lopsharris,https://www.twitter.com/lopsharris,1775794753713422553,0,0,0,,2024/4/4 7:57,@taylorswift13 Please release another date for Cardiff ?? and give a presale code to people who have pre ordered your new album. The Ticketmaster codes fiasco has stopped real fans getting tickets and only ones available on viagogo etc are extortionate prices and probably scams ????????,Twitter for Android,https://www.twitter.com/lopsharris/status/1775794753713422553
21,,~ Kiana,taydenlover,https://www.twitter.com/taydenlover,1775855463403331893,0,0,0,,2024/4/4 11:58,@taylorswift13 Liar,Twitter for iPhone,https://www.twitter.com/taydenlover/status/1775855463403331893
22,,~ Kiana,taydenlover,https://www.twitter.com/taydenlover,1775855492511781056,0,1,1,,2024/4/4 11:58,@taylorswift13 BitchMOVE,Twitter for iPhone,https://www.twitter.com/taydenlover/status/1775855492511781056
23,,???????? ?? sns stan,certifiedswiftt,https://www.twitter.com/certifiedswiftt,1775857656126910887,0,0,0,,2024/4/4 12:07,@taydenlover @taylorswift13 ??????,Twitter for iPhone,https://www.twitter.com/certifiedswiftt/status/1775857656126910887
24,,Roy Nivasi,RoHaNaDee,https://www.twitter.com/RoHaNaDee,1775964101375623251,0,0,0,,2024/4/4 19:10,@TheGr8Illusion @taylorswift13 ewww,Twitter Web App,https://www.twitter.com/RoHaNaDee/status/1775964101375623251
25,,Roy Nivasi,RoHaNaDee,https://www.twitter.com/RoHaNaDee,1775964606394925552,0,0,0,,2024/4/4 19:12,"@TheGr8Illusion @Maryland4e58581 @taylorswift13 Everyone, @TheGr8Illusion is suffering from TDS.",Twitter Web App,https://www.twitter.com/RoHaNaDee/status/1775964606394925552
26,,miss unknown.????,Nicklay04,https://www.twitter.com/Nicklay04,1776045142161690733,0,0,0,,2024/4/5 0:32,@taylorswift13 Love you taytay$BEYOND $MOJO $PARAM $COOKIE $TRIP $BUBBLE,Twitter for Android,https://www.twitter.com/Nicklay04/status/1776045142161690733
27,,MoMoFreedom,monique39966560,https://www.twitter.com/monique39966560,1776108496142073915,0,0,0,,2024/4/5 4:43,"@TheGr8Illusion @taylorswift13 You need to get educated. Stop watching #FakeNewCNN. Biden’s rap sheet is just as long. Ever wonder why all the politicians are rich? Biden=Inflation, open border, disaster world policies -Afgan, Ukraine, Middle East…",Twitter for iPhone,https://www.twitter.com/monique39966560/status/1776108496142073915
28,,WTF IS GOING OK,norcalangelpaws,https://www.twitter.com/norcalangelpaws,1776146502186103225,0,0,0,,2024/4/5 7:14,@taylorswift13 https://t.co/TO5r74k88P,Twitter for iPhone,https://www.twitter.com/norcalangelpaws/status/1776146502186103225
29,,Kasi Yanto,yanto_kasi22930,https://www.twitter.com/yanto_kasi22930,1776178440808608188,0,0,0,,2024/4/5 9:21,@taylorswift13 Lovely,Twitter for Android,https://www.twitter.com/yanto_kasi22930/status/1776178440808608188
