,,Name,Username,Tweet ID (click to view url),Retweets,Comments,Favorites,Is Retweet?,Date,Tweet Text,text,Status URL,
92,,Robbi ??MATR1XCoin ?? $WELL | Tabi ?? ??????,Robbi4119525267,https://www.twitter.com/Robbi4119525267,1788281826538139812,0,0,0,,2024/5/8 18:56,"@taylorswift13 ?? Green Miles, Happy Smiles! @PowerPod_People @Web3Go GODIN",Twitter Web App,https://www.twitter.com/Robbi4119525267/status/1788281826538139812
93,,Robbi ??MATR1XCoin ?? $WELL | Tabi ?? ??????,Robbi4119525267,https://www.twitter.com/Robbi4119525267,1788281860834926680,0,2,0,,2024/5/8 18:56,"@tis_sjoberg @taylorswift13 ?? Green Miles, Happy Smiles! @PowerPod_People @Web3Go GODIN",Twitter Web App,https://www.twitter.com/Robbi4119525267/status/1788281860834926680
94,,Viktor,ViktorPuhach,https://www.twitter.com/ViktorPuhach,1788284772680114292,0,0,0,,2024/5/8 19:08,@taylorswift13 ??? Road Trips Recharged! @PowerPod_People @Web3Go GODIN,Twitter Web App,https://www.twitter.com/ViktorPuhach/status/1788284772680114292
95,,David Koo ?? $MON,DavidKo36075577,https://www.twitter.com/DavidKo36075577,1788384711481708663,0,0,0,,2024/5/9 1:45,"@taylorswift13 I love Singapo?? Plug, Play, Save the day! @PowerPod_People @Web3Go GODIN",Twitter Web App,https://www.twitter.com/DavidKo36075577/status/1788384711481708663
96,,傅醉冬,EAdamsx24321,https://www.twitter.com/EAdamsx24321,1788731218739241261,0,0,0,,2024/5/10 0:42,"@taylorswift13 @9Moe2 染谷萌花, 一起追隨嗎？",Twitter Web App,https://www.twitter.com/EAdamsx24321/status/1788731218739241261
97,,teuheldoper1985??? $RCADE,teuheldope38542,https://www.twitter.com/teuheldope38542,1789372664240333137,0,0,0,,2024/5/11 19:11,@taylorswift13 ??? Road Trips Recharged! @PowerPod_People @Web3Go GODIN,Twitter Web App,https://www.twitter.com/teuheldope38542/status/1789372664240333137
98,,Huong Lan Bui ?,huonglan0501,https://www.twitter.com/huonglan0501,1790036143494320292,0,0,0,,2024/5/13 15:07,@domainsid @taylorswift13 ?? Rocket Your Returns! @xraders_xyz @Web3Go GODIN,Twitter Web App,https://www.twitter.com/huonglan0501/status/1790036143494320292
99,,Hau Chu ?,HauChu0571,https://www.twitter.com/HauChu0571,1790043189677572099,0,0,0,,2024/5/13 15:35,@domainsid @taylorswift13 ?? Rocket Your Returns! @xraders_xyz @Web3Go GODIN,Twitter Web App,https://www.twitter.com/HauChu0571/status/1790043189677572099
100,,Cuong Long ?,cuonglong0398,https://www.twitter.com/cuonglong0398,1792185278599467357,0,0,0,,2024/5/19 13:27,@domainsid @taylorswift13 ?? AI-Assisted Investing! @xraders_xyz @din_lol_ GODIN,Twitter Web App,https://www.twitter.com/cuonglong0398/status/1792185278599467357
101,,Tuan Tran ?,TuanTran2010,https://www.twitter.com/TuanTran2010,1795486465780224326,0,0,0,,2024/5/28 16:05,@domainsid @taylorswift13 ?? Rebranded and ready! Welcome DIN! Go @din_lol_,Twitter Web App,https://www.twitter.com/TuanTran2010/status/1795486465780224326
102,,AMB????SWIFT????(taylor's version),swift13AMB,https://www.twitter.com/swift13AMB,1796827457070178798,0,0,0,,2024/6/1 8:53,@taylorswift13 ????????????????????????????????????????????????????#SwiftiesForPalestine,Twitter for Android,https://www.twitter.com/swift13AMB/status/1796827457070178798
103,,manchae04 ??,gwonmincha20529,https://www.twitter.com/gwonmincha20529,1799060571243032707,0,0,0,,2024/6/7 12:47,@taylorswift13 YOUR PERFORMANCE IS THE BEST THING IVE EVER SEEN! I truly appreciate fr,Twitter Web App,https://www.twitter.com/gwonmincha20529/status/1799060571243032707
104,,Pikaso,pikaso_me,https://www.twitter.com/pikaso_me,1799952016837431761,0,0,0,,2024/6/9 23:49,@Midnightslut13 @taylorswift13 Enjoy your screenshot and...Get 10 stickers for $1: https://t.co/IGW12ygmK5 https://t.co/kpO82vw4nw,Pikaso Bot,https://www.twitter.com/pikaso_me/status/1799952016837431761
105,,"Kattobi (??,??)",Kattobi33,https://www.twitter.com/Kattobi33,1800784856093454550,0,0,0,,2024/6/12 6:59,"@taylorswift13 Bridging blockchains, simplifying swaps! ???? @okxweb3 @din_lol_ GODIN",Twitter Web App,https://www.twitter.com/Kattobi33/status/1800784856093454550
106,,July,969July,https://www.twitter.com/969July,1802000228578443296,0,0,0,,2024/6/15 15:28,@taylorswift13 我在3.3！,Twitter for iPhone,https://www.twitter.com/969July/status/1802000228578443296
107,,Michelle,Michell67682607,https://www.twitter.com/Michell67682607,1804873974238650748,0,0,0,,2024/6/23 13:47,@taylorswift13 I?u so much please reply back to me,Twitter for Android,https://www.twitter.com/Michell67682607/status/1804873974238650748
108,,???????? Extrema Izquierda ! ????????,Salvado93756372,https://www.twitter.com/Salvado93756372,1833797821176176863,0,0,0,,2024/9/11 9:20,@taylorswift13 https://t.co/s2JH50pEB7,Twitter for Android,https://www.twitter.com/Salvado93756372/status/1833797821176176863
109,,Jamie,IssHimJamie,https://www.twitter.com/IssHimJamie,1834031284546318594,0,0,0,,2024/9/12 0:48,@taylorswift13 https://t.co/6sCEa8ZxhX,Twitter for iPhone,https://www.twitter.com/IssHimJamie/status/1834031284546318594
110,,bong rip,nosnam420,https://www.twitter.com/nosnam420,1834091103143821765,0,0,0,,2024/9/12 4:46,"@taylorswift13 How do you got only 5,000 comments on this protect  your kitty the immigrants are coming for it https://t.co/OA3ppHURPC https://t.co/NgI6YK9oih",Twitter Web App,https://www.twitter.com/nosnam420/status/1834091103143821765
111,,ivarr speeed!!??,ivankeya2,https://www.twitter.com/ivankeya2,1837132103919583737,0,0,0,,2024/9/20 14:10,@taylorswift13 https://t.co/XAekbuT4jY,Twitter for Android,https://www.twitter.com/ivankeya2/status/1837132103919583737
112,,Callie girl,cb17525,https://www.twitter.com/cb17525,1837291397814309309,0,0,0,,2024/9/21 0:42,@taylorswift13 All your songs sound alike,Twitter for Android,https://www.twitter.com/cb17525/status/1837291397814309309
113,,phrypou ( n° 4 ??)...????,phrypou,https://www.twitter.com/phrypou,1840530169544470762,0,0,0,,2024/9/29 23:12,@taylorswift13 2...A/E??,Twitter for Android,https://www.twitter.com/phrypou/status/1840530169544470762
114,,Keegan Reed,keeganelliored,https://www.twitter.com/keeganelliored,1842460807189422284,0,0,0,,2024/10/5 7:04,@taylorswift13 You are the sweetest most beautiful girl in the universe.. love you Taylor ??,Twitter for iPhone,https://www.twitter.com/keeganelliored/status/1842460807189422284
115,,ivie,taytayt95076009,https://www.twitter.com/taytayt95076009,1849418915610497266,0,0,0,,2024/10/24 11:53,@taylorswift13 im one of them https://t.co/oBua3Yixjo,Twitter for iPhone,https://www.twitter.com/taytayt95076009/status/1849418915610497266
116,,Shane. Shane Johnson,shane51869,https://www.twitter.com/shane51869,1853272396800663643,0,0,0,,2024/11/4 3:05,@taylorswift13 Taylor so gorgeous I know want you to be my girlfriend again Shane come back in my life miss you so much babe ??,Twitter for Android,https://www.twitter.com/shane51869/status/1853272396800663643
117,,Eric a.k.a. Clyde,realgetawaycar,https://www.twitter.com/realgetawaycar,1856565824749756884,0,0,0,,2024/11/13 5:12,@taylorswift13 https://t.co/Geo6WcTkih,Twitter for Android,https://www.twitter.com/realgetawaycar/status/1856565824749756884
